Month,Sales of shampoo over a three year period
Jan-2020,266
Feb-2020,145.9
Mar-2020,183.1
Apr-2020,119.3
May-2020,180.3
Jun-2020,168.5
Jul-2020,231.8
Aug-2020,224.5
Sep-2020,192.8
Oct-2020,122.9
Nov-2020,336.5
Dec-2020,185.9
Jan-2021,194.3
Feb-2021,149.5
Mar-2021,210.1
Apr-2021,273.3
May-2021,191.4
Jun-2021,287
Jul-2021,226
Aug-2021,303.6
Sep-2021,289.9
Oct-2021,421.6
Nov-2021,264.5
Dec-2021,342.3
Jan-2022,339.7
Feb-2022,440.4
Mar-2022,315.9
Apr-2022,439.3
May-2022,401.3
Jun-2022,437.4
Jul-2022,575.5
Aug-2022,407.6
Sep-2022,682
Oct-2022,475.3
Nov-2022,581.3
Dec-2022,646.9
